RECORD_ID,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,SSN_LAST4,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,HOME_ADDR_LINE1,HOME_ADDR_CITY,HOME_ADDR_STATE,HOME_ADDR_POSTAL_CODE,HOME_ADDR_COUNTRY,HOME_PHONE_NUMBER,CELL_PHONE_NUMBER,EMAIL_ADDRESS,DATE,STATUS,AMOUNT
1001,Smith,Robert,,,12/11/78,,,,,,,,,"123 Main Street, Las Vegas NV 89132",,,,,702-919-1300,,bsmith@work.com,1/2/2018,Active,100
1002,Smith,Bob,,,11/12/78,,,,,,,,,1515 Adela Lane,Las Vegas,NV,89111,,,702-919-1300,,3/10/2017,Inactive,200
1003,Smith,Bob,,,12/11/78,,,,,,,,,,,,,,,,bsmith@work.com,4/9/2016,Inactive,300
1004,Smith,B,,,,,,,,,,,,1515 Adela Ln,Las Vegas,NV,89132,,,,bsmith@work.com,1/5/2015,Inactive,400
1005,Smith,Rob,E,,,,,112233,NV,,,,,123 E Main St,Henderson,NV,89132,,,,,7/16/2019,Active,500
1009,Kusha,Edward,,,3/1/70,,,,,294-66-9999,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com,1/7/2018,Active,600
1010,Kusha,Eddie,,,Mar 1 1970,,,,,,,,,1304 Poppy Hills Dr,Blacklick,OHIO,,,,,,1/8/2016,Inactive,700
1011,Knight,Ed,,,3/1/70,,,,,,,,,1602 Brenville Pl,San Francisco,CA,94105,,,,,10/9/2015,Terminated,800
1015,Kusha,Mary ,,,10/27/76,,,,,293-90-9090,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,512-353-8633,,Kusha123@hmail.com,1/10/2018,Active,900
1016,Kusha,Marie,,,10/27/76,,,,,,,,,1304 Poppy Hills Dr,,,43004,,,,,1/11/2018,Active,100
1017,Kusha,Mary ,,,,,,,,293-90-9090,,,,,,,,,,,,1/12/2018,Active,200
1018,Kusha,Marie,,,10/28/76,,,,,,,,,,,,,,512-353-8633,,,1/13/2018,Active,300
1019,Kusha,Mark,,,9/28/97,,,,,,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com,1/14/2018,Active,400
1020,Kusha,Marsha,,,9/28/97,,,,,201-77-7719,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com,1/15/2018,Active,500
1022,Antoun,Mohamed,,,1/7/80,,,,,,,,,,,,,,,,,1/16/2018,Active,600
1023,Antoun,Muhammed,,,1/7/80,,,,,,,,,,,,,,,,,1/17/2018,Active,700
1025,Anderson,Darla,,,1/7/80,,,,,,,,,,,,,,,,,1/18/2018,Active,800
1026,Anderson,Darlene,,,1/7/80,,,,,,,,,,,,,,,,,1/19/2018,Active,900
1028,Dobbins Jr,David,,,,,,,,,,,,1450 N City Rd Suite 900,Arlington,VA,23208,,,,,1/20/2018,Active,100
1030,Garski,Luis,,,3/25/89,,,,,,,,,445 Overpass Rd ,San Ramon ,CA ,927230000,,,,,1/21/2018,Active,200
1031,Garsky,Louis,,,3/25/89,,,,,,,,,445 Overpass Rd San Ramon,,,,,,,,1/22/2018,Active,300
1032,Shaw,Daniella,,,20/8/1991,,,,,,,,,,,,,,202-321-3212,,,1/23/2018,Active,400
1033,Daniella,Shaw,,,8/20/91,,,,,,,,,80 Delaware Ave SE Washington DC 40040,,,,,321-3212,,,1/24/2018,Active,500
1034,Medina Sentosa,Maria Luis,,,11/21/73,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,,,Maria Sentosa<msentosa@fmail.com>,1/25/2018,Active,600
1035,M Sentosa,Maria Luis,,,11/12/73,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,,,,1/26/2018,Active,700
1036,Sentosa,Maria Luis,,,11/12/73,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,,,,1/27/2018,Active,800
1039,Smith,John,,M,10/10/70,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,1/28/2018,Active,900
1040,Smith,John,,,3/15/90,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,1/29/2018,Active,100
1043,Smith,Patrick,,,10/10/70,10251111,US,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,1/30/2018,Active,200
1044,Smith,Patricia,,,3/15/90,10252222,US,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,1/31/2018,Active,300
1045,Smith,Pat,,,,10251111,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,1/2/2018,Active,400
1046,Smith,Pat,,,,10252222,USA,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,1/3/2018,Active,500
1047,Thompson,Zara,,,,,,,,,,,,,,,,,,,sthomp45@fmail.com,1/4/2018,Active,600
1048,Tompson,Sarah,,,,,,,,,,,,,,,,,,,sthomp45@fmail.com,1/5/2018,Active,700
1049,Thompson,Sahra,,,,,,,,,,,,,,,,,,,sthomp45@fmail.com,1/6/2018,Active,800
1050,Toulouse,Lee,,,2/1/85,483290175,USA,,,,,,,,,,,,,,,1/7/2018,Active,900
1051,Toulouse,Leigh,,,1/2/85,483290175,US,,,,,,,,,,,,,,,1/8/2018,Active,100
1052,Toulouse,Lea,,,,483290175,US,,,,,,,,,,,,,,,1/9/2018,Active,200
1053,Smith,Beau,,,,72129291,CA,,,,,,,"6371 E Foothill Dr, Orroville, CA ",,,,,,,,1/10/2018,Active,300
1054,Smith,Magdalena,,,24-May-11,,,93939211,CA,,,,,"6371 E Foothill Dr, Orroville, CA 95915",,,,,,,,1/11/2018,Active,400
1055,,Beau,,,,72129291,CAN,,,,,,,"6371 E Foothill Dr, 95915",,,,,,,,1/12/2018,Active,500
1056,Jones,Magdalena,,,5/24/11,,,93939211,CA,,,,,"6371 E Foothill Dr, Orroville, CA ",,,,,,,,1/13/2018,Active,600
1057,Jones,Jay,,,,,,,,,,,,,,,,,,,jjones@jones.com,1/14/2018,Active,700
1058,Jay,Jones,,,,,,,,,,,,,,,,,,,"""Jay Jones"" <jjones@fmail.com>",1/15/2018,Active,800
1059,Roderick,Ray,,,,,,,,,,,,,,,,,971-421-8250,,,1/16/2018,Active,900
