RECORD_ID,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,SSN_LAST4,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,HOME_ADDR_LINE1,HOME_ADDR_CITY,HOME_ADDR_STATE,HOME_ADDR_POSTAL_CODE,HOME_ADDR_COUNTRY,HOME_PHONE_NUMBER,CELL_PHONE_NUMBER,EMAIL_ADDRESS,DATE,STATUS,CATEGORY
1006,Smith Sr,Rob,,,3/31/54,,,112233,NV,,,,,"123 Main St, Las Vegas ",,,,,,,,1/3/2017,Active,A
1007,Smith,Patricia,,,,,,,,,,,,"1515 Adela Ln, LV, NV",,,89132,,,,psmith@email.com,2/4/2020,Active,B
1008,Smith,Robert,,,,,,,,,,,,,,,,,,,robert.smith@email.com,3/5/19,Active,C
1012,Kusha,Eddie,,,3/1/70,,,,,,,,,"1602 Brenville Pl, San Francisco, CA 94105",San Francisco,CA,94105,,,,,4/6/2019,Active,A
1014,Knight,Jed,I ,,3/1/70,,,,,294-66-9999,,,,160 Brenville Pl,San Francisco,CA,94105,,,,,5/7/2015,Inactive,B
1021,,,,,,,,,,201-77-7719,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com,6/8/2016,Active,C
1024,Antoun,Mhd,,,1/7/80,,,,,,,,,,,,,,,,,7/9/2018,Active,A
1027,Anderson,Darletta,,,1/7/80,,,,,,,,,,,,,,,,,3/5/2019,Active,B
1029,Dobbins Senior,David,,,,,,,,,,,,"Suite 900, 1450 N City Rd",Arlington,,23208,,,,,4/6/2020,Active,C
1037,Sentosa,Maria,,,12/11/73,,,,,,,,,,,,,,,,,5/7/2015,Active,A
1038,Medina,Maria,,,12/11/73,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,,,msentosa@fmail.com,1/3/2019,Active,B
1041,Smith,John,,,,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,2/4/2019,Active,C
1042,Smith,John,,M,,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,3/5/2018,Inactive,A
